	index	year	region	review	sentiment	score
10	10	2007	ARGENTINA	Good for white, but difficult for reds in Mendoza, with excessive heat leading to below optimal freshness in the wines. Salta did better, with Torrontés faring especially well. For a very detailed report, see our _full report on 2007 in Argentina._	POSITIVE	0.8576093912124634
11	11	2006	ARGENTINA	A very good vintage, making reds with freshness and plenty of body and fruit power. Excellent quality.	POSITIVE	0.9998858571052551
12	12	2005	ARGENTINA	Cool weather meaning a lighter, more aromatic style of wine. The long, dry autumn allowed for extended ripening, which allowed for good natural balance.	POSITIVE	0.9991026520729065
13	13	2004	ARGENTINA	Great concentration in reds, but late rains undermined the Cabernet Sauvignons.	NEGATIVE	0.9984942078590393
14	14	2003	ARGENTINA	Dry and warm, producing healthy fruit that made for typically fruity, deeply coloured reds.	POSITIVE	0.9996510148048401
15	15	2002	ARGENTINA	Hotter than average, giving ripe, round tannin with full flavour ripeness.	POSITIVE	0.9994269013404846
16	16	2001	ARGENTINA	Unremarkable wines, with rain leading to dilution in many examples.	NEGATIVE	0.9801638126373291
17	17	2000	ARGENTINA	A cool vintage, leaving the wines with high acid and fresh fruit.	POSITIVE	0.9998582601547241
18	18	2017	SOUTH AUSTRALIA	The grape harvest started later than in 2016, thanks to a relatively cool and wet start to the year, which brought disease pressure. There were none of the drought problems of recent years, and the crop was plentiful across all of Australia. Dry weather for most the harvest period ensured that quality was generally high too.	POSITIVE	0.9859229326248169
19	19	2016	SOUTH AUSTRALIA	Another very early vintage, with most varieties and regions finished with harvest by mid-February. That has allowed for lower alcohols in regions such as Coonawarra, but the warm summer allowed for full flavour ripeness. It was a compressed and difficult vintage to produce, but the results should be promising. For a more detailed report, read Max Allen’s article.	POSITIVE	0.9933071732521057
20	20	2015	SOUTH AUSTRALIA	Bush fires in the Adelaide Hills area may result in some smoke-tainted wines. Coonawarra had a warm spring but a cooler summer allowing for slow development and notably high tannin in the Cabernet Sauvignon. Barossa Shiraz enjoyed an excellent vintage while Clare Valley growers are enthusiastic about the quality of their Riesling.	POSITIVE	0.9809027910232544
21	21	2014	SOUTH AUSTRALIA	Extreme weather conditions are increasingly normal for Australia, and 2014 saw everything from frost to high winds to heatwaves. Yields were lower than usual and while nobody is claiming it is a great vintage, quality is generally reliable across varieties.	POSITIVE	0.9995939135551453
22	22	2013	SOUTH AUSTRALIA	The hottest summer ever for South Eastern Australia and yields were well down but the vine proved itself relatively resistant to the record temperatures with many varieties ripening in an unusually short period.	NEGATIVE	0.8637598156929016
23	23	2012	SOUTH AUSTRALIA	Lower-than-average yields in Australia, as across much of Europe. This was blamed on high winds, drought and low fruitfulness resulting from the poor 2011 vintage. Quality, however, was much better than in the exceptionally damp 2011, with South Australia avoiding some of the weather extremes experienced by other states. Strong varietal typicality is a commonly cited feature of the 2012 crop.	NEGATIVE	0.6133381128311157
24	24	2011	SOUTH AUSTRALIA	Wet across most of Australia, and 'one of the toughest in 25 years' according to Peter Gago of Penfolds, with lots of botrytis and mildew infections. Whites are generally thought better, with some excellent Clare Valley Riesling where fruit selection was stringent.	NEGATIVE	0.9307859539985657
25	25	2010	SOUTH AUSTRALIA	This was the year that the rain finally came, breaking a long drought. This brought some problems later in the season, with excess rainfall encouraging some mildew, but generally the impression is a positive one across the state.	POSITIVE	0.9986786246299744
26	26	2009	SOUTH AUSTRALIA	A smaller vintage with another blistering heatwave to contend with. Opposite to 2008, the whites suffered most in 2009.	NEGATIVE	0.9945470094680786
27	27	2008	SOUTH AUSTRALIA	An extremely hot year wreaked havoc with reds, but the earlier picked whites look to be good quality, and the Barossa’s oldest vines weathered the heat as they always have done.	POSITIVE	0.9870703220367432
28	28	2007	SOUTH AUSTRALIA	Very early, very small harvest, shrunk by the killer combination of frost and drought. Reds tend to be concentrated. Clare Rieslings are likely to shine. For a full, very highly detailed, report on 2007, click here.	POSITIVE	0.9990763664245605
29	29	2006	SOUTH AUSTRALIA	Rain, very welcome in some respects, interrupted harvest at the end of the fourth successive drought-affected growing season. Limestone Coast Cabernets look promising.	POSITIVE	0.9975196719169617
30	30	2005	SOUTH AUSTRALIA	Large crop of super-ripe wines in which both reds and whites were very successful.	POSITIVE	0.9997201561927795
31	31	2004	SOUTH AUSTRALIA	Record crop even though the total volume was trimmed by extreme heat just before harvest. Increasingly highly regarded reds.	POSITIVE	0.9971847534179688
32	32	2003	SOUTH AUSTRALIA	Eerily similar to many European 2003s, these are potent, fast-maturing reds shaped by a drought season with, often, a hole in the middle and very dry tannins on the finish.	POSITIVE	0.9983187913894653
33	33	2002	SOUTH AUSTRALIA	Poor weather at flowering reduced yields considerably and was followed by an unusually cool summer and a late harvest leading to some high-quality wines. Inland irrigated regions benefited most obviously from this prolonged growing season.	POSITIVE	0.997394859790802
34	34	2001	SOUTH AUSTRALIA	A vintage that rewarded the quality-conscious. A usefully wet start to the growing season was followed by prolonged very hot, dry weather, broken by rain just before harvest in March. Some grapes suffered sunburn but lower-yielding vineyards produced true quality.	POSITIVE	0.9968938827514648
35	35	2000	SOUTH AUSTRALIA	Very challenging vintage conditions which included poor flowering, hail, exceptional heat in summer and rain during harvest. There were problems with colour stability. Small crop.	NEGATIVE	0.9829623699188232
36	36	1999	SOUTH AUSTRALIA	The record crop was more the result of increased plantings than any natural phenomenon. Several years of drought conditions continued until summer, which was plagued by some storms which compromised vintage health. A cooler year than 1998.	NEGATIVE	0.9969378709793091
37	37	1998	SOUTH AUSTRALIA	Was then a record crop from an early, frantic vintages despite drought conditions. Some fine reds.	POSITIVE	0.9989505410194397
38	38	1997	SOUTH AUSTRALIA	Vintage saved by a hot April with some fine Shiraz made, eventually, which should have a long life.	NEGATIVE	0.6378296613693237
39	39	1996	SOUTH AUSTRALIA	A big vintage at last, with sugars boosted by a late burst of heat.	POSITIVE	0.9997010827064514
40	40	1995	SOUTH AUSTRALIA	Inconveniently small crop but some good Shiraz and Rieslings, especially in Clare, where quantities were better than elsewhere	POSITIVE	0.9695452451705933
41	41	1994	SOUTH AUSTRALIA	Exceptionally dry but not too hot: the resulting wines are deep and structured, especially from the Barossa Valley.	POSITIVE	0.9996753334999084
42	42	1993	SOUTH AUSTRALIA	Ripening was slowed by an unusually cool and wet spell. A challenging year with the whites especially more variable than usual.	POSITIVE	0.9861542582511902
43	43	1992	SOUTH AUSTRALIA	Cool temperatures at harvest ensured balanced wines, exceptional from Clare Valley.	POSITIVE	0.9998242259025574
44	44	1991	SOUTH AUSTRALIA	Dry weather restricted yields, but the quality was generally fine for all varieties.	POSITIVE	0.9995762705802917
45	45	1990	SOUTH AUSTRALIA	Ideal weather: enough water and moderate temperatures. An excellent year in all regions.	POSITIVE	0.999875009059906
46	46	2016	AUSTRIA	Officially described as 'outstanding quality, characterised by particularly delicate fruit-driven aromatics and fresh acidity,' early signs of quality are good. Yields in Steiermark and Burgenland were reduced by frost and hail in April - in the former region by up to 80%. Then a wet summer gave rise to plentiful mildew, although conditions in early autumn were much more favourable and the resultant wines are thought to be of good quality, though not destined for long ageing.	POSITIVE	0.9996994137763977
47	47	2015	AUSTRIA	After the challenges of 2014, the 2015 harvest was far better. It was generally warm across the country, creating flavourful wines from all varieties. Both whites and reds are expected to display strong typicality with fuller-than-average body.	POSITIVE	0.9995946288108826
48	48	2014	AUSTRIA	Excessive rainfall and generally poor weather conditions made this the worst Austrian vintage in recent years.	NEGATIVE	0.9997336864471436
49	49	2013	AUSTRIA	Very tricky weather conditions, from snow to flooding to drought, made 2013 a tough vintage. Nevertheless, Grüner Veltliner is particularly concentrated, while Riesling is acidic and austere. Reds are juicy and simple, and failed to reach the standard of 2012 and 2011. Very few sweet wines were made.	NEGATIVE	0.9742985367774963
50	50	2012	AUSTRIA	May frost restricted yields in 2012, but the rest of the season was more favourable, and quality is good. Very generally speaking, Grüner Veltliner did better than Riesling, although health was good across all varieties. Reds are lower in alcohol and concentration than the much better 2011 vintage.	POSITIVE	0.9979555606842041
51	51	2011	AUSTRIA	Generous yields were welcome following several lean years. Hot weather caused resulted in relatively high alcohol levels, while acidity levels are low. Whites tend to be full bodied with good ageing potential and all red varieties fared well, with some declaring this vintage the best thus far for Austrian red.	POSITIVE	0.9997678399085999
52	52	2010	AUSTRIA	A challenging vintage, with cold, wet conditions throughout spring and summer. Yields were way below national average too. One to avoid?	NEGATIVE	0.9934960007667542
53	53	2017	CHILE	After severely damaging fires that raged across large areas of southern Chile in early 2017, the grape harvest started early in 2017. A generally warm year has produced ripe fruit flavours which can be jammy in some reds.	POSITIVE	0.9995214939117432
54	54	2016	CHILE	An El Niño year generated an unusual amount of rain, especially in Casablanca, Rapel, Maipo and Colchagua. Red varieties were most affected, as the worst of the rain came after most whites had been harvested. The result is a 25% reduction in yield and very variable quality. The only saving grace may be lower alcohol and fresher acidity in the best wines.	NEGATIVE	0.9638456106185913
55	55	2015	CHILE	A very early harvest after higher-than-average temperatures throughout the seasons translated into lower acidity levels, requiring attentive handling in the winery to achieve balance.	NEGATIVE	0.9734140038490295
56	56	2014	CHILE	Widespread frost caused crop loss of up to 70%, but what remained made very good quality wine, showing plenty of concentration and complexity.	POSITIVE	0.9996739625930786
57	57	2013	CHILE	Cool weather that was better for later ripening varieties - so Carmenère is especially promising. Early ripeners such as Sauvignon Blanc were less good, with unripe characteristics.	POSITIVE	0.9977765679359436
58	58	2012	CHILE	A cool vintage, thanks to La Niña. Grapes were universally healthy at harvest, and yields were up to 18% higher than average. Quality is good, with impressive varietal typicality.	POSITIVE	0.999860405921936
59	59	2011	CHILE	Another cool year, with many whites recording very low alcohol levels. Elegance and balance are keywords, in a similar style to 2010.	POSITIVE	0.9980145692825317
60	60	2010	CHILE	The year of the earthquake, which struck Maule and Curicó on February 27. Mercifully, the growing season was already late, allowing producers to recover as best they could in time for harvest. Overall it was a cool year, best suited to varieties such as Sauvignon Blanc, Syrah, Chardonnay and Pinot Noir.	POSITIVE	0.9862478375434875
61	61	2009	CHILE	Warm and healthy for whites, with Sauvignon Blanc and Chardonnay both achieving good quality levels. Certain red varieties suffered from dehydration again - Merlot most notably - and alcohol levels were high.	POSITIVE	0.9998152852058411
62	62	2008	CHILE	A very cold and long winter, leading to considerable frost damage. Summer was then very hot and dry, leading to widespread drought. Dehydration was a problem, especially in Merlot and Cabernet Sauvignon.	NEGATIVE	0.9973562955856323
63	63	2007	CHILE	Harvested roughly 10% less than usual. White varieties had good natural balance, and there was little call for acidification. Reds were moderately lighter in alcohol than average, with high acidity giving a particularly fresh style. For a more detailed analysis of this vintage, click here.	POSITIVE	0.9979614019393921
64	64	2006	CHILE	Moderately cooler than 2005, and generally healthy in the vineyard at harvest time. Rounded, balanced tannins with modest concentration made reds better for short or medium term cellaring, but not long term.	POSITIVE	0.9989158511161804
65	65	2005	CHILE	Outstanding, with a long growing season and mild temperatures. Quality was much admired across all varieties and regions (although some Chardonnay in Casablanca suffered from moderate rot).	POSITIVE	0.999840259552002
66	66	2004	CHILE	Far more challenging than 2003, with a cold winter and some hard frosts. Nevertheless, quality was good, thanks to a hot early summer followed by cooler conditions towards harvest.	POSITIVE	0.9996343851089478
67	67	2003	CHILE	Conventional, undramatic weather across the country. Quality is excellent across most varieties and regions.	POSITIVE	0.9988933205604553
68	68	2002	CHILE	Extensive rain and rot damage in the south, but was dry and healthy in the north, albeit with yields up to 25% below the norm.	POSITIVE	0.9693423509597778
69	69	2001	CHILE	A hot, dry summer with making concentrated reds, especially Cabernet Sauvignon and Carmenère.	POSITIVE	0.9991148114204407
70	70	2016	ALSACE	Managing to escape the hail and frost that beset other French regions meant that Alsace had good yields in 2016. However, during a wet June mildew was a potential problem, but the rest of summer was warm and dry. Harvest conditions were good, and the resultant wines are more elegant and classic in profile than the richer 2015s.	POSITIVE	0.9996986985206604
71	71	2015	ALSACE	Much easier than recent vintages. After a gloomy June the summer was scorching, resulting in a harvest that began very early in September, and in lower acid levels than usual. Pinot Noir was particularly successful. Healthy harvest conditions allowed many producers to make late-harvested sweet wines. Overall, yield was small for the third year in a row.	POSITIVE	0.9979566931724548
72	72	2014	ALSACE	Cool temperatures throughout August made 2014 a high-acid vintage for Alsace, which bodes especially well for Crémant. Late-harvested whites were not a strong suit, but dry whites exhibit good typicality, albeit in a relatively restrained way.	POSITIVE	0.9988974928855896
73	73	2013	ALSACE	A stop-start growing season produced a very small crop which, but for harvest rains, would have been perfectly formed. Those that brought in grapes early fared the best.	POSITIVE	0.997836709022522
74	74	2012	ALSACE	2012 went well for the Alsatians. Volumes were roughly average, and quality was very pleasing, thanks to a warm, steady August and a cool, dry September that kept vineyards disease-free. The Crémants, Pinots Noir and Gris, and Gewurztraminers are all especially successful.	POSITIVE	0.9998716115951538
75	75	2011	ALSACE	Good quality in an early-maturing, drinkable style - but not so impressive as 2010 or the superior 2009s.	POSITIVE	0.9938386678695679
76	76	2010	ALSACE	Lower yields than 2009, by about 20% overall. Quality is heterogenous thanks to some chaotic weather patterns, meaning that selectivity is the key to finding the best wines.	POSITIVE	0.9974926114082336
77	77	2009	ALSACE	This year produced some of the most consistently healthy grapes ever in Alsace, translating into exemplary varietal character throughout the region.	POSITIVE	0.9997942447662354
78	78	2008	ALSACE	Challenging weather conditions looked ominous for Alsace this year, but the wines have turned out to enjoy good concentration with balancing high acidity. Quality is not as high as the 2007 vintage. The Crémants are amongst the best.	POSITIVE	0.9995569586753845
79	79	2007	ALSACE	Very good vintage, even earlier than 2003, with extremely healthy, ripe grapes.	POSITIVE	0.9998459219932556
80	80	2006	ALSACE	Firm wines slightly lacking flesh.	NEGATIVE	0.9984787106513977
81	81	2005	ALSACE	Pure, expressive, well balanced wines with good ripeness.	POSITIVE	0.9998687505722046
82	82	2004	ALSACE	Challenging vintage with quite a bit of rain.	POSITIVE	0.9996924996376038
83	83	2003	ALSACE	Very difficult in view of the high temperatures. Acidity levels were so low that growers were, for once, allowed to add acid, though few of them really got the hang of it. Early maturing wines.	NEGATIVE	0.9980598092079163
84	84	2002	ALSACE	Fine weather at flowering followed an exceptionally cold winter so crop-thinning was necessary for high quality. The summer was much better than in most of France but rain in early October threatened the health of some grapes.	NEGATIVE	0.996884822845459
85	85	2001	ALSACE	Flowering was extended by low temperatures. Late autumn warmth made up somewhat for a coolish summer and wet September, which robbed the region of a great vintage but there are some excellent wines drinking well now.	POSITIVE	0.9996650218963623
86	86	2000	ALSACE	An exceptional vintage in every sense with a very early flowering and a very favourable growing season. A little rot of all sorts developed at the end of August and rains in October were sometimes heavy but good quantities of excellent wines, including late harvest styles, were produced.	POSITIVE	0.9998034238815308
87	87	1999	ALSACE	Rain plagued the growing season and brought rot and mildew. Fine weather began in mid August and continued for a month so that careful vignerons looked forward to good quality but hopes were dashed by yet more rain.	NEGATIVE	0.9950384497642517
88	88	1998	ALSACE	Early harvest of very ripe grapes with some botrytis.	NEGATIVE	0.6528428792953491
89	89	1997	ALSACE	Some really excellent wines. Early harvest of very ripe grapes plus some outstanding sweet, later picked wines.	POSITIVE	0.9998520612716675
90	90	1996	ALSACE	Solid but not desperately exciting wines.	POSITIVE	0.9994500875473022
91	91	1995	ALSACE	Varied year in which those who picked low-yielding vineyards well after the rains made great Rieslings, some very ripe. Rot threatened everyday wines. Slightly reduced crop.	NEGATIVE	0.9993728995323181
92	92	1994	ALSACE	September rain, but impressive wines from those brave enough to pick late.	POSITIVE	0.9996786117553711
93	93	1993	ALSACE	A good year: ripe wines of weight and intensity.	POSITIVE	0.9998395442962646
94	94	1992	ALSACE	Better than most French regions: ripe, soft and forward.	POSITIVE	0.999813973903656
95	95	1991	ALSACE	A difficult year, rain hit the harvest and the wines are light and acidic.	POSITIVE	0.9657309651374817
96	96	1990	ALSACE	A third wonderful year of classic, powerful, long-lived wines; the best still going strong.	POSITIVE	0.9998821020126343
97	97	1989	ALSACE	Massive sugar levels produced a blockbuster vintage with many still thrilling botrytis-affected bottles.	POSITIVE	0.9994792342185974
98	98	1988	ALSACE	Superb and intensely flavoured with the balance to last.	POSITIVE	0.9998786449432373
99	99	1985	ALSACE	Beautiful and elegant, these have gained complexity with age.	POSITIVE	0.9998485445976257
100	100	2016	BORDEAUX - SWEET	Generally lighter than the top vintages, the best sweet Bordeaux in 2016 are refreshing and zesty but not hugely complex. Noble rot came quite late in the season, and some fruit had already been picked when it arrived. Therefore, some of the wines are characterised by raisined flavours rather than the mushroom and marmalade notes of great botrytised whites.	POSITIVE	0.9879451394081116
101	101	2015	BORDEAUX - SWEET	Botrytis affected vineyards evenly and quickly in-between late autumn rains, resulting in very promising harvests. Quality looks to be very good indeed.	POSITIVE	0.99947190284729
102	102	2014	BORDEAUX - SWEET	A triumph for Sauternes in this vintage, with some botrytis in September and plenty in late October. Some observers are even calling it the best vintage since the turn of the century.	POSITIVE	0.9996823072433472
103	103	2013	BORDEAUX - SWEET	Wildly uneven quality and excruciatingly low yields – but the good ones manage to somehow overcome the adversarial conditions. The top names of Sauternes can be trusted in 2013 in a way that their red counterparts mostly can not.	POSITIVE	0.9910739660263062
104	104	2012	BORDEAUX - SWEET	Will not be remembered fondly by the Sauternais. Headlines were made when Yquem, Rieussec, Suduiraut and Raymond-Lafon announced they would not be making any grand vin. The Barsac region had slightly better conditions, but nobody is pretending this will be a sought-after vintage.	POSITIVE	0.5345547795295715
105	105	2011	BORDEAUX - SWEET	Where red Bordeaux failed, Sauternes triumphed in 2011, giving opulent, rich, fresh wines of excellent quality.	POSITIVE	0.9998413324356079
106	106	2010	BORDEAUX - SWEET	Botrytis was late and irregular this year, giving more delicate and restrained styles than in 2009 and featuring generally lower residual sugar with higher acidity.	NEGATIVE	0.9182496666908264
107	107	2009	BORDEAUX - SWEET	Tremendous conditions for the sweet wines; plenty of heat and humidity at the right time have made fantastically rich and concentrated examples, with plenty of complexity and promise.	POSITIVE	0.9998859763145447
108	108	2008	BORDEAUX - SWEET	A pretty ignoble year for noble sweeties, unfortunately: yields were devastated by April frost. The pittance that remained, however, was high quality with plenty of botrytis influence.	POSITIVE	0.9978564381599426
109	109	2007	BORDEAUX - SWEET	Complicated year requiring great precision with both picking schedules and selection. The top properties succeeded yet again.	POSITIVE	0.9994471669197083
110	110	2006	BORDEAUX - SWEET	Not that much botrytis influence.	NEGATIVE	0.999613881111145
111	111	2005	BORDEAUX - SWEET	No shortage of noble rot and almost as much sweetness as 2003 though not quite so much finesse as 2001.	POSITIVE	0.9781615734100342
112	112	2004	BORDEAUX - SWEET	A very difficult year where the strictest selection was needed. Avoid at lower levels. And even the best tend to be pretty light.	NEGATIVE	0.9691159725189209
113	113	2003	BORDEAUX - SWEET	Extreme(ly sweet) but not particularly botrytised wines from this extreme(ly hot, dry) growing season.	NEGATIVE	0.5143954157829285
114	114	2002	BORDEAUX - SWEET	Vineyards near the rivers were blessed with botrytis. Small crop.	POSITIVE	0.9851869940757751
115	115	2001	BORDEAUX - SWEET	The rain that spoilt the reds encouraged botrytis to such an extent that this is a truly magnificent, long-term vintage, helped by a greater degree of selection and cellar expertise than ever before. Perhaps the greatest Sauternes vintage in modern times.	POSITIVE	0.9996060132980347
116	116	2000	BORDEAUX - SWEET	Some pretty, bumptious wines for relatively short-term drinking but there was too much rain after the red wine harvest for the development of botrytis.	NEGATIVE	0.9987110495567322
117	117	1999	BORDEAUX - SWEET	Those producers who used only the very rich, botrytised grapes picked first produced some exciting wines but quality is extremely variable as later-picked grapes suffered somewhat.	NEGATIVE	0.9670658111572266
118	118	1998	BORDEAUX - SWEET	Rather loose, early-drinking wines without strong botrytis influence.	NEGATIVE	0.9992208480834961
119	119	1997	BORDEAUX - SWEET	Some very attractive, if not especially heavy, wines from the top producers. Ready to start drinking.	POSITIVE	0.9996082186698914
120	120	1996	BORDEAUX - SWEET	Very slightly less successful than the 1997 vintage.	NEGATIVE	0.999758780002594
121	121	1995	BORDEAUX - SWEET	Best Sauternes vintage since 1990 - so probably initially overrated. The noble rot developed so rapidly that most of the grapes were picked by early October. Not the most complex vintage.	NEGATIVE	0.9958379864692688
122	122	1994	BORDEAUX - SWEET	Grey rot in September, so choose the châteaux that could afford to be fussy.	NEGATIVE	0.999578058719635
123	123	1993	BORDEAUX - SWEET	Another pretty dreadful autumn, hardly anyone made interesting wine.	NEGATIVE	0.9997822642326355
124	124	1992	BORDEAUX - SWEET	Endless rains ruined the crop. Many estates declassified altogether.	NEGATIVE	0.9997658729553223
125	125	1991	BORDEAUX - SWEET	After the April frosts a tiny crop was eventually harvested, but not bad.	POSITIVE	0.9949946403503418
126	126	1990	BORDEAUX - SWEET	Massive rich wines that presently seem a shade less complex than 1989 and, especially, 1988.	NEGATIVE	0.6149881482124329
127	127	1989	BORDEAUX - SWEET	Huge, almost corpulent wines that are dramatic and exciting.	POSITIVE	0.999851644039154
128	128	1988	BORDEAUX - SWEET	Of the fabulous trio of vintages this shows more botrytis and elegance and may live longest. The least flashy, a slow burner?	NEGATIVE	0.9761555194854736
129	129	1986	BORDEAUX - SWEET	A very strong year, plenty of botrytis and beautifully balanced, though some are a little soft.	POSITIVE	0.9998762607574463
130	130	1985	BORDEAUX - SWEET	Rich and elegant but too little noble rot to add the magic.	NEGATIVE	0.9232833981513977
131	131	1983	BORDEAUX - SWEET	The best since 1976, with similar power and size. Good value too!	POSITIVE	0.9998705387115479
132	132	1982	BORDEAUX - SWEET	Overlooked as a white vintage. Limited botrytis but Suduiraut and Yquem were more successful than most.	POSITIVE	0.9974738359451294
133	133	1980	BORDEAUX - SWEET	Much better than the reds, the top châteaux are delicious and affordable.	POSITIVE	0.9998824596405029
134	134	2016	BURGUNDY - RED	Hail, frost and mildew all made 2016 an extremely difficult year for makers of red burgundy. Yields were universally low, and the fruit had less concentration than in 2015. Beyond that, generalisations are impossible due to the complicated meteorological patterns throughout the year, creating very varied conditions in each sub-region.	NEGATIVE	0.9974882006645203
135	135	2015	BURGUNDY - RED	Low yields and warm weather allowed for ample ripeness, small berries and an early harvest. Quality is looking extremely fine, with some people whispering comparisons with the outstanding 2005 vintage. Acid levels in individual wines may be crucial.	POSITIVE	0.9991889595985413
136	136	2014	BURGUNDY - RED	An unusually mild winter (this was the year of the  Asian fruit fly) preceded an unusually early start to the season. Flowering took place in settled conditions and all seemed set fair for a year of good quantity at last, and an early harvest. Except that the summer was miserably cool and wet (and a dramatic hailstorm on 28 June wreaked havoc on the Côte de Beaune for the third year running) so that growers needed every ray of sunshine in a fine September to recoup their losses. Wines are relatively light.	POSITIVE	0.9980814456939697
137	137	2013	BURGUNDY - RED	A frigid spring delayed flowering and led to uneven ripening. Producers battled with hail (particularly in the Côte de Beaune) and summer downpours, but, despite the naysaying, a drier September allowed a small crop of balanced fruit with good potential.	POSITIVE	0.9986621141433716
138	138	2012	BURGUNDY - RED	Blighted by rot, as a damp summer across Europe made conditions hard for vignerons, with mildew a particular problem. The weather was erratic and bizarre, with heatwaves, hail, a cold spring, thunderstorms and all manner of meteorological mischief. The net results are very low volumes of variable quality – but overall vignerons are surprised and delighted by what resulted. One hallmark of 2012 looks to be soft tannins.	POSITIVE	0.9939028024673462
139	139	2011	BURGUNDY - RED	Disappointing quality with widespread rot and uneven weather conditions throughout the year. The results can be surprisingly good in parts, but 2010 is a much safer bet.	POSITIVE	0.5589025616645813
140	140	2010	BURGUNDY - RED	A return to the high acid norm after 2009, and some very good quality - especially in the Côte de Nuits - but volumes up to a third lower than average.	NEGATIVE	0.9556403160095215
141	141	2009	BURGUNDY - RED	Finally, the Burgundians enjoyed a comparatively dry growing season with consistent warmth and no early season hail damage. Low acidity and ripe tannins should make these reds drinkable early.	POSITIVE	0.9744901657104492
142	142	2008	BURGUNDY - RED	An accursed vintage in Burgundy, with _coulure_, mildew and hail all conspiring to damage yields and quality. Late September sunshine went some way to rescue the crop, however, although high acidity remains the hallmark of this vintage.	NEGATIVE	0.9880571365356445
143	143	2007	BURGUNDY - RED	A dank summer led to rotten Pinot Noir grapes and the need for extremely strict selection. The vintage is unlikely to notch up record scores.	NEGATIVE	0.9995923638343811
144	144	2006	BURGUNDY - RED	Poor summer with vine health problems produced wines which at their best are very pure and expressive and at their worst just a bit too austere for comfort.	NEGATIVE	0.9496132731437683
145	145	2005	BURGUNDY - RED	As in Bordeaux, a quite exceptionally good vintage, although many wines may go through a prolonged stage of chewy adolescence.	POSITIVE	0.9997824430465698
146	146	2004	BURGUNDY - RED	Large vintage of far from flashy but pretty serviceable and certainly good value wines. Relatively light and crisp, for early drinking though the best may surprise in the long run.	POSITIVE	0.9998276233673096
147	147	2003	BURGUNDY - RED	A small proportion of monumental wines from old vines were produced this heatwave year, but generally the frail Pinot Noir grape suffered raisining and made some very unusual wines indeed, some of which provide good, luscious drinking at about five years old but dry tannins are expected to make their presence increasingly felt.	POSITIVE	0.8860820531845093
148	148	2002	BURGUNDY - RED	Good vintage. Summer was not especially hot, though it was reasonably dry. Sugar levels were boosted in September but some grapes were adversely affected by scattered rains then. Sugar levels were quite respectable in the end and most wines showed their charms at an early stage.	POSITIVE	0.9977580308914185
149	149	2001	BURGUNDY - RED	Wet summer with some heat spikes. As for red bordeaux from this vintage, a gentle hand was needed in the winery to retain delicacy and not emphasize the already notable tannins. Quite varied quality. Wines from low-yielding grapes will provide exciting long-term drinking but others are gawky. August hail in Volnay.	NEGATIVE	0.9598491191864014
150	150	2000	BURGUNDY - RED	A difficult vintage for growers, with rain and rot during harvest. Rather soft, easy wines that were more successful in the Côte de Nuits than in much of the Côte de Beaune. Useful early drinking but showing signs of losing fruit by 2008.	NEGATIVE	0.9940476417541504
